level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4963	3509	-1	
2	1	1	0	0	0	2221	211	295	51	-1	
3	1	1	1	0	0	2221	211	295	51	-1	
4	1	1	1	1	0	2221	211	295	51	-1	
5	1	1	1	1	1	2221	211	106	48	96.868347	Тип,
5	1	1	1	1	2	2351	221	165	41	96.234123	марка,
2	1	2	0	0	0	2872	180	91	49	-1	
3	1	2	1	0	0	2872	180	91	49	-1	
4	1	2	1	1	0	2872	180	91	49	-1	
5	1	2	1	1	1	2872	180	91	49	96.602127	Код
2	1	3	0	0	0	4180	217	132	41	-1	
3	1	3	1	0	0	4180	217	132	41	-1	
4	1	3	1	1	0	4180	217	132	41	-1	
5	1	3	1	1	1	4180	217	132	41	96.216476	Маса
2	1	4	0	0	0	2754	240	326	50	-1	
3	1	4	1	0	0	2754	240	326	50	-1	
4	1	4	1	1	0	2754	240	326	50	-1	
5	1	4	1	1	1	2754	240	326	50	96.141922	обладнання,
2	1	5	0	0	0	3292	248	175	49	-1	
3	1	5	1	0	0	3292	248	175	49	-1	
4	1	5	1	1	0	3292	248	175	49	-1	
5	1	5	1	1	1	3292	248	175	49	91.682045	Завод-
2	1	6	0	0	0	3653	224	204	45	-1	
3	1	6	1	0	0	3653	224	204	45	-1	
4	1	6	1	1	0	3653	224	204	45	-1	
5	1	6	1	1	1	3653	224	204	45	96.802536	Одиниця
2	1	7	0	0	0	305	273	197	49	-1	
3	1	7	1	0	0	305	273	197	49	-1	
4	1	7	1	1	0	305	273	197	49	-1	
5	1	7	1	1	1	305	273	197	49	96.177299	Позиція
2	1	8	0	0	0	712	271	1116	53	-1	
3	1	8	1	0	0	712	271	1116	53	-1	
4	1	8	1	1	0	712	271	1116	53	-1	
5	1	8	1	1	1	712	271	383	53	96.501129	Найменування
5	1	8	1	1	2	1115	282	54	30	96.815285	та
5	1	8	1	1	3	1189	271	219	41	96.934441	технічна
5	1	8	1	1	4	1426	282	402	41	96.251709	характеристика
2	1	9	0	0	0	2067	282	603	42	-1	
